CC_Pop,avg_nuclei,rerun16,Sample_ID,HEXTag,DECTag,DPH,Sex,FLeng_mm,TLeng_mm,mass_g,K,SGR,DNA_pg,Celltype,Smear_Pop,Smr_samp,Diam_um,avg_volume_um3,avg_volume_uL,avg_surface_um2,SAVratio,Event_,n_CC,avg_allTLmm,allTL_sd,allTL_max,allTL_min,avg_allFLmm,allFL_sd,allFL_max,allFL_min,avg_allg,allg_sd,allg_max,allg_min,avg_allk,allK_sd,allK_max,allK_min,avg_allsgr,allsgr_sd,allsgr_max,allsgr_min,avg_allploidy,allploid_sd,allploid_max,allploid_min,avg_8ploidy,max_ploid,min_ploid,sd_ploid,avg_NDiam,sd_NDiam,min_NDiam,max_NDiam,avg_CDiam,sd_CDiam,min_CDiam,max_CDiam,avg_SCDiam,sd_SCDiam,min_SCDiam,max_SCDiam,avg_SNDiam,sd_SNDiam,min_SNDiam,max_SNDiam,n_smear,avg_Nvol_um3,sd_Nvol_um3,min_Nvol_um3,max_Nvol_um3,avg_Cvol_um3,sd_Cvol_um3,min_Cvol_um3,max_Cvol_um3,avg_Nvol_uL,sd_Nvol_uL,min_Nvol_uL,max_Nvol_uL,avg_Cvol_uL,sd_Cvol_uL,min_Cvol_uL,max_Cvol_uL,avg_Nsurf_um2,sd_Nsurf_um2,min_Nsurf_um2,max_Nsurf_um2,avg_Csurf_um2,sd_Csurf_um2,min_Csurf_um2,max_Csurf_um2,avg_CSAV,sd_CSAV,min_CSAV,max_CSAV,avg_NSAV,sd_NSAV,min_NSAV,max_NSAV
PDB,49.6247,,D159,,,,,691,772,3000,0.652032666,,,avg_nuclei,UMFeb,D3,14.37055,670.9066506,6.70907E-07,106.5757294,0.158853291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,D160,,,,,1145,1270,9699,0.473495435,,,avg_nuclei,UMFeb,D6,13.90955,649.9380298,6.49938E-07,103.200805,0.158785608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,D161,,,,,980,1100,11340,0.851990984,,,avg_nuclei,UMFeb,D8,14.44533,748.9088997,7.48909E-07,112.8934642,0.150743921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,D162_,,,,,860,960,5000,0.565140336,,,avg_cell,BR,BR4,30.41595,7538.380766,7.53838E-06,519.7330062,0.068944913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,48.4069,,E163,,,,,1209,1338,16329,0.68169679,,,avg_cell,BR,BR12,29.94033,7746.905701,7.74691E-06,522.7367054,0.067476839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.18916667,,E164,,,,,735,835,3300,0.5668322,,,avg_cell,BR,BR13,29.3852,6881.812577,6.88181E-06,488.0971997,0.070925675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.0158,,E166_,,,,,745,843,3850,0.64265517,,,avg_cell,BR,BR63,30.04138,7186.101751,7.1861E-06,504.3095481,0.070178459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,47.79803333,,E167,,,,,680,771,2550,0.556387092,,,avg_cell,BR,BR70,31.29205,9082.783454,9.08278E-06,578.6514664,0.063708605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,49.0158,,E168,,,,,787,896,4000,0.556078319,,,avg_cell,BR,BR72,28.53139,6464.079413,6.46408E-06,466.128199,0.072110531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDB,46.5803,,E169,,,,,1013,1102,7700,0.575368314,,,avg_cell,BR,BR85,32.08188,8777.771815,8.77777E-06,575.9869166,0.065618807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
